CD20190806104949.00,2.7,2019-08-06 10:49:48,23.19,113.66,13,广东广州市增城区,http://news.ceic.ac.cn/CD20190806104949.00.html
CC20190806093131.00,4.5,2019-08-06 09:31:30,23.64,121.62,10,台湾花莲县海域,http://news.ceic.ac.cn/CC20190806093131.00.html
CC20190806091948.00,4.9,2019-08-06 09:19:48,23.61,121.70,13,台湾花莲县海域,http://news.ceic.ac.cn/CC20190806091948.00.html
CC20190805170108.00,5.8,2019-08-05 17:01:07,-18.58,-174.53,40,汤加群岛,http://news.ceic.ac.cn/CC20190805170108.00.html
CC20190805035122.00,5.1,2019-08-05 03:51:22,30.65,50.86,30,伊朗,http://news.ceic.ac.cn/CC20190805035122.00.html
CC20190805030455.00,5.2,2019-08-05 03:04:54,36.65,71.24,230,阿富汗,http://news.ceic.ac.cn/CC20190805030455.00.html
CC20190804182304.00,6.2,2019-08-04 18:23:03,37.78,141.81,40,日本本州东岸近海,http://news.ceic.ac.cn/CC20190804182304.00.html
CD20190804142639.00,3.0,2019-08-04 14:26:39,38.50,90.22,10,新疆巴音郭楞州若羌县,http://news.ceic.ac.cn/CD20190804142639.00.html
CC20190804021128.00,5.1,2019-08-04 02:11:28,52.26,-165.75,10,阿留申群岛以南海域,http://news.ceic.ac.cn/CC20190804021128.00.html
CD20190803191619.00,3.0,2019-08-03 19:16:18,27.38,101.39,19,四川凉山州盐源县,http://news.ceic.ac.cn/CD20190803191619.00.html
CD20190803172142.00,3.0,2019-08-03 17:21:42,41.94,81.79,10,新疆阿克苏地区拜城县,http://news.ceic.ac.cn/CD20190803172142.00.html
CD20190803062445.00,4.8,2019-08-03 06:24:44,23.63,121.58,5,台湾花莲县海域,http://news.ceic.ac.cn/CD20190803062445.00.html
CD20190802215309.00,4.5,2019-08-02 21:53:09,23.66,121.61,7,台湾花莲县海域,http://news.ceic.ac.cn/CD20190802215309.00.html
CC20190802200324.00,6.8,2019-08-02 20:03:24,-7.25,104.75,30,印尼苏门答腊岛南部海域,http://news.ceic.ac.cn/CC20190802200324.00.html
CC20190802040128.00,5.5,2019-08-02 04:01:28,-34.28,-72.29,10,智利中部沿岸近海,http://news.ceic.ac.cn/CC20190802040128.00.html
CD20190802024456.00,2.9,2019-08-02 02:44:56,45.28,124.77,7,吉林松原市宁江区,http://news.ceic.ac.cn/CD20190802024456.00.html
CC20190802022805.00,6.7,2019-08-02 02:28:05,-34.21,-72.28,10,智利中部沿岸近海,http://news.ceic.ac.cn/CC20190802022805.00.html
CC20190801171349.00,3.4,2019-08-01 17:13:48,31.07,95.16,10,西藏昌都市边坝县,http://news.ceic.ac.cn/CC20190801171349.00.html
CD20190801165029.00,4.2,2019-08-01 16:50:29,23.36,118.58,11,台湾海峡,http://news.ceic.ac.cn/CD20190801165029.00.html
CC20190801092216.00,5.3,2019-08-01 09:22:16,-19.85,133.84,10,澳大利亚北部地区,http://news.ceic.ac.cn/CC20190801092216.00.html
CD20190806104949.00,2.7,2019-08-06 10:49:48,23.19,113.66,13,广东广州市增城区,http://news.ceic.ac.cn/CD20190806104949.00.html
CC20190806093131.00,4.5,2019-08-06 09:31:30,23.64,121.62,10,台湾花莲县海域,http://news.ceic.ac.cn/CC20190806093131.00.html
CC20190806091948.00,4.9,2019-08-06 09:19:48,23.61,121.70,13,台湾花莲县海域,http://news.ceic.ac.cn/CC20190806091948.00.html
CC20190805170108.00,5.8,2019-08-05 17:01:07,-18.58,-174.53,40,汤加群岛,http://news.ceic.ac.cn/CC20190805170108.00.html
CC20190805035122.00,5.1,2019-08-05 03:51:22,30.65,50.86,30,伊朗,http://news.ceic.ac.cn/CC20190805035122.00.html
CC20190805030455.00,5.2,2019-08-05 03:04:54,36.65,71.24,230,阿富汗,http://news.ceic.ac.cn/CC20190805030455.00.html
CC20190804182304.00,6.2,2019-08-04 18:23:03,37.78,141.81,40,日本本州东岸近海,http://news.ceic.ac.cn/CC20190804182304.00.html
CD20190804142639.00,3.0,2019-08-04 14:26:39,38.50,90.22,10,新疆巴音郭楞州若羌县,http://news.ceic.ac.cn/CD20190804142639.00.html
CC20190804021128.00,5.1,2019-08-04 02:11:28,52.26,-165.75,10,阿留申群岛以南海域,http://news.ceic.ac.cn/CC20190804021128.00.html
CD20190803191619.00,3.0,2019-08-03 19:16:18,27.38,101.39,19,四川凉山州盐源县,http://news.ceic.ac.cn/CD20190803191619.00.html
CD20190803172142.00,3.0,2019-08-03 17:21:42,41.94,81.79,10,新疆阿克苏地区拜城县,http://news.ceic.ac.cn/CD20190803172142.00.html
CD20190803062445.00,4.8,2019-08-03 06:24:44,23.63,121.58,5,台湾花莲县海域,http://news.ceic.ac.cn/CD20190803062445.00.html
CD20190802215309.00,4.5,2019-08-02 21:53:09,23.66,121.61,7,台湾花莲县海域,http://news.ceic.ac.cn/CD20190802215309.00.html
CC20190802200324.00,6.8,2019-08-02 20:03:24,-7.25,104.75,30,印尼苏门答腊岛南部海域,http://news.ceic.ac.cn/CC20190802200324.00.html
CC20190802040128.00,5.5,2019-08-02 04:01:28,-34.28,-72.29,10,智利中部沿岸近海,http://news.ceic.ac.cn/CC20190802040128.00.html
CD20190802024456.00,2.9,2019-08-02 02:44:56,45.28,124.77,7,吉林松原市宁江区,http://news.ceic.ac.cn/CD20190802024456.00.html
CC20190802022805.00,6.7,2019-08-02 02:28:05,-34.21,-72.28,10,智利中部沿岸近海,http://news.ceic.ac.cn/CC20190802022805.00.html
CC20190801171349.00,3.4,2019-08-01 17:13:48,31.07,95.16,10,西藏昌都市边坝县,http://news.ceic.ac.cn/CC20190801171349.00.html
CD20190801165029.00,4.2,2019-08-01 16:50:29,23.36,118.58,11,台湾海峡,http://news.ceic.ac.cn/CD20190801165029.00.html
CC20190801092216.00,5.3,2019-08-01 09:22:16,-19.85,133.84,10,澳大利亚北部地区,http://news.ceic.ac.cn/CC20190801092216.00.html
CD20190806104949.00,2.7,2019-08-06 10:49:48,23.19,113.66,13,广东广州市增城区,http://news.ceic.ac.cn/CD20190806104949.00.html
CC20190806093131.00,4.5,2019-08-06 09:31:30,23.64,121.62,10,台湾花莲县海域,http://news.ceic.ac.cn/CC20190806093131.00.html
CC20190806091948.00,4.9,2019-08-06 09:19:48,23.61,121.70,13,台湾花莲县海域,http://news.ceic.ac.cn/CC20190806091948.00.html
CC20190805170108.00,5.8,2019-08-05 17:01:07,-18.58,-174.53,40,汤加群岛,http://news.ceic.ac.cn/CC20190805170108.00.html
CC20190805035122.00,5.1,2019-08-05 03:51:22,30.65,50.86,30,伊朗,http://news.ceic.ac.cn/CC20190805035122.00.html
CC20190805030455.00,5.2,2019-08-05 03:04:54,36.65,71.24,230,阿富汗,http://news.ceic.ac.cn/CC20190805030455.00.html
CC20190804182304.00,6.2,2019-08-04 18:23:03,37.78,141.81,40,日本本州东岸近海,http://news.ceic.ac.cn/CC20190804182304.00.html
